,comment
11220,hi i really enjoy your fantastic video and have learned so much from them are you planning a tutorial video on the apple watch o 3 update thanks so much
11221,great beginner video for apple watch i just purchased this wa very helpful
11222,doe the ping feature work the other way around like could i hit ping my watch on the cell phone to find my watch
11223,yes
11224,i wa not looking for a ad about ebates
11225,do you have to keep bluetooth on on your phone once you have your watch paired with your phone thanks
11226,kaylyn legrand yes blue tooth connects ur phone with ur watch for notification however if u turn off bluetooth near wifi like at ur house then ur apple watch will hook up to the wifi and give u a green cloud
11227,kaylyn legrand i am wondering the same thing
11228,i wa in the apple store today and the watch can not be setup without an iphone which mean the apple watch is distinctly an iphone peripheral which i think is a bad design choice especially for modern time when an tablet device can do everything a phone can an more for instance i can call people using facebook messenger which begs serious question of using a mobile phone service provider but that is another topic consider that the ipod mini ha a display and a designer made an app and case that allowed it to be used a a stand alone watch many should feel uneasy having to own an iphone to use the watch most smart watch distinctly can independently be used a a watch and computing device you can download apps onto and then also take advantage of the feature that allow it to be used a a smart phone peripheral
11229,fissle wine well million of u already own iphones always have always will it enhances the experience that ha made a great impact on many people life i am apple considered the watch being used without the iphone i suggest if interested before submitting final judgment you try it for a week and return it if your not happy or buy one of many avail stand alone watch
11230,tibokio lol
11231,well that is apple for ya i guess keeping it all inside the one ecosystem
11232,please notify when you do one for apple watch 2
11233,good info thanks
11234,thanks for the video i became a pro in le then 24 hour
11235,tk d
11236,can someone tell me if i can listen to music that is on my iphone from my apple watch with apple is wireless airpods
11237,carmen maranda yes i use wireless ear pod i bought from amazon
11238,yes you can
11239,caseythehuman yes it ha a dedicated amount of gig just for music on the watch or you can use the want to control your phone or itunes on mac
11240,caseythehuman yes you can
11241,do u have to have a iphone
11242,mar1a ok thanx
11243,sajida azeem yeah
11244,i am a complete noob on the aw can someone please answer these question definitively i want to purchase the nike series 2 can i wear it on day or run where it is completely downpour raining can i go diving with it on depth of roughly 50ft
